file,power,total_persistence,total_persistence_weighted,infinity_norm,average_persistence,average_persistence_weighted
't02_segment_branch_persistence_max.txt',2,0,0,0,-nan,-nan
't03_segment_branch_persistence_max.txt',2,2,1,1,0,0
't04_segment_branch_persistence_max.txt',2,8,1.6,2,0.4,0.08
't05_segment_branch_persistence_max.txt',2,23,2.55556,3,0.777778,0.0864198
't06_segment_branch_persistence_max.txt',2,51,4.63636,4,1.72727,0.157025
't07_segment_branch_persistence_max.txt',2,87,5.8,5,1.8,0.12
't08_segment_branch_persistence_max.txt',2,80,4,4,1.1,0.055
't09_segment_branch_persistence_max.txt',2,97,4.61905,5,1.09524,0.0521542
't10_segment_branch_persistence_max.txt',2,161,6.19231,5,1.5,0.0576923
't11_segment_branch_persistence_max.txt',2,179,5.77419,5,1.58065,0.0509886
't12_segment_branch_persistence_max.txt',2,197,5.47222,5,1.63889,0.0455247
't13_segment_branch_persistence_max.txt',2,250,6.41026,7,1.58974,0.0407627
't14_segment_branch_persistence_max.txt',2,219,5.34146,7,1.2439,0.0303391
't15_segment_branch_persistence_max.txt',2,263,5.84444,5,1.62222,0.0360494
't16_segment_branch_persistence_max.txt',2,346,6.17857,7,1.53571,0.0274235
't17_segment_branch_persistence_max.txt',2,293,4.9661,5,1.33898,0.0226946
't18_segment_branch_persistence_max.txt',2,433,6.56061,6,1.5303,0.0231864
't19_segment_branch_persistence_max.txt',2,675,8.23171,9,1.54878,0.0188876
't20_segment_branch_persistence_max.txt',2,884,10.5238,11,1.85714,0.0221088
't21_segment_branch_persistence_max.txt',2,1077,11.4574,10,1.8617,0.0198053
't22_segment_branch_persistence_max.txt',2,1100,11.3402,10,2,0.0206186
't23_segment_branch_persistence_max.txt',2,955,10.0526,8,2.07368,0.0218283
't24_segment_branch_persistence_max.txt',2,1917,16.8158,12,2.72807,0.0239304
't25_segment_branch_persistence_max.txt',2,1604,12.6299,11,2.23622,0.017608
't26_segment_branch_persistence_max.txt',2,2297,17.8062,15,2.75194,0.0213329
't27_segment_branch_persistence_max.txt',2,2717,19,17,2.84615,0.0199032
't28_segment_branch_persistence_max.txt',2,2600,18.705,17,2.66187,0.0191501
't29_segment_branch_persistence_max.txt',2,2849,19.5137,16,2.92466,0.0200319
't30_segment_branch_persistence_max.txt',2,2971,19.1677,13,2.96129,0.0191051
't31_segment_branch_persistence_max.txt',2,2680,17.4026,14,2.93506,0.0190589
't32_segment_branch_persistence_max.txt',2,3419,20.1118,13,2.74706,0.0161592
't33_segment_branch_persistence_max.txt',2,3964,21.7802,16,3.13187,0.0172081
't34_segment_branch_persistence_max.txt',2,4281,23.0161,16,3.14516,0.0169095
't35_segment_branch_persistence_max.txt',2,5028,25.6531,16,3.4898,0.0178051
't36_segment_branch_persistence_max.txt',2,5529,28.7969,16,3.42188,0.0178223
't37_segment_branch_persistence_max.txt',2,5522,27.61,17,3.24,0.0162
't38_segment_branch_persistence_max.txt',2,5561,26.7356,17,3.48558,0.0167576
't39_segment_branch_persistence_max.txt',2,5112,24.6957,16,3.31401,0.0160097
't40_segment_branch_persistence_max.txt',2,6377,30.9563,18,3.75243,0.0182157
't41_segment_branch_persistence_max.txt',2,5445,26.1779,16,3.27404,0.0157406
't42_segment_branch_persistence_max.txt',2,6238,28.3545,15,3.54545,0.0161157
't43_segment_branch_persistence_max.txt',2,5885,26.3901,19,3.43946,0.0154236
't44_segment_branch_persistence_max.txt',2,6778,28.9658,19,3.73504,0.0159617
't45_segment_branch_persistence_max.txt',2,5026,22.6396,19,3.06306,0.0137976
't46_segment_branch_persistence_max.txt',2,6782,27.9095,17,3.68724,0.0151738
't47_segment_branch_persistence_max.txt',2,8029,31.3633,20,3.81641,0.0149078
't48_segment_branch_persistence_max.txt',2,7529,29.2957,20,3.73152,0.0145195
't49_segment_branch_persistence_max.txt',2,6441,25.1602,18,3.35547,0.0131073
't50_segment_branch_persistence_max.txt',2,7673,29.9727,19,3.56641,0.0139313
't51_segment_branch_persistence_max.txt',2,5511,22.2218,15,3.22177,0.012991
't52_segment_branch_persistence_max.txt',2,6531,24.1889,18,3.33704,0.0123594
't53_segment_branch_persistence_max.txt',2,7410,26.8478,19,3.4058,0.0123398
't54_segment_branch_persistence_max.txt',2,7589,26.9113,17,3.42908,0.0121599
't55_segment_branch_persistence_max.txt',2,7815,29.8282,20,3.62977,0.0138541
